name,type_name,fuel_common_name,year,control_name,total_travel_percent,source,source_detail,source_url
Light-duty trucks gasoline 1990 oxidation catalyst,Light-duty trucks,gasoline,1990,oxidation catalyst,0.05,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1991 epa tier 0,Light-duty trucks,gasoline,1991,epa tier 0,0.95,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1991 oxidation catalyst,Light-duty trucks,gasoline,1991,oxidation catalyst,0.05,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1992 epa tier 0,Light-duty trucks,gasoline,1992,epa tier 0,0.95,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1992 oxidation catalyst,Light-duty trucks,gasoline,1992,oxidation catalyst,0.05,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1993 epa tier 0,Light-duty trucks,gasoline,1993,epa tier 0,0.95,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1993 oxidation catalyst,Light-duty trucks,gasoline,1993,oxidation catalyst,0.05,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1994 epa tier 0,Light-duty trucks,gasoline,1994,epa tier 0,0.6,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1994 epa tier 1,Light-duty trucks,gasoline,1994,epa tier 1,0.4,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1995 epa tier 0,Light-duty trucks,gasoline,1995,epa tier 0,0.2,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1995 epa tier 1,Light-duty trucks,gasoline,1995,epa tier 1,0.8,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1996 epa tier 1,Light-duty trucks,gasoline,1996,epa tier 1,1,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1997 epa tier 1,Light-duty trucks,gasoline,1997,epa tier 1,1,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1998 epa tier 1,Light-duty trucks,gasoline,1998,epa tier 1,0.8,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1998 low emission vehicles,Light-duty trucks,gasoline,1998,low emission vehicles,0.2,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1999 epa tier 1,Light-duty trucks,gasoline,1999,epa tier 1,0.57,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 1999 low emission vehicles,Light-duty trucks,gasoline,1999,low emission vehicles,0.43,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2000 epa tier 1,Light-duty trucks,gasoline,2000,epa tier 1,0.65,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2000 low emission vehicles,Light-duty trucks,gasoline,2000,low emission vehicles,0.35,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2001 epa tier 1,Light-duty trucks,gasoline,2001,epa tier 1,0.01,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2001 low emission vehicles,Light-duty trucks,gasoline,2001,low emission vehicles,0.99,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2002 epa tier 1,Light-duty trucks,gasoline,2002,epa tier 1,0.1,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2002 low emission vehicles,Light-duty trucks,gasoline,2002,low emission vehicles,0.9,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2003 epa tier 2,Light-duty trucks,gasoline,2003,epa tier 2,0.47,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2003 low emission vehicles,Light-duty trucks,gasoline,2003,low emission vehicles,0.53,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2004 epa tier 2,Light-duty trucks,gasoline,2004,epa tier 2,0.28,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2004 low emission vehicles,Light-duty trucks,gasoline,2004,low emission vehicles,0.72,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2005 epa tier 2,Light-duty trucks,gasoline,2005,epa tier 2,0.62,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2005 low emission vehicles,Light-duty trucks,gasoline,2005,low emission vehicles,0.38,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2006 epa tier 2,Light-duty trucks,gasoline,2006,epa tier 2,0.75,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2006 low emission vehicles,Light-duty trucks,gasoline,2006,low emission vehicles,0.25,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2007 epa tier 2,Light-duty trucks,gasoline,2007,epa tier 2,0.86,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2007 low emission vehicles,Light-duty trucks,gasoline,2007,low emission vehicles,0.14,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2008 epa tier 2,Light-duty trucks,gasoline,2008,epa tier 2,1,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2009 epa tier 2,Light-duty trucks,gasoline,2009,epa tier 2,1,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Light-duty trucks gasoline 2010 epa tier 2,Light-duty trucks,gasoline,2010,epa tier 2,1,EPA (2012) Table A-100,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1985 moderate,Passenger cars,diesel,1985,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1986 moderate,Passenger cars,diesel,1986,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1987 moderate,Passenger cars,diesel,1987,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1988 moderate,Passenger cars,diesel,1988,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1989 moderate,Passenger cars,diesel,1989,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1990 moderate,Passenger cars,diesel,1990,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1991 moderate,Passenger cars,diesel,1991,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1992 moderate,Passenger cars,diesel,1992,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1993 moderate,Passenger cars,diesel,1993,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1994 moderate,Passenger cars,diesel,1994,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1995 moderate,Passenger cars,diesel,1995,moderate,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1996 advanced,Passenger cars,diesel,1996,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1997 advanced,Passenger cars,diesel,1997,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1998 advanced,Passenger cars,diesel,1998,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 1999 advanced,Passenger cars,diesel,1999,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2000 advanced,Passenger cars,diesel,2000,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2001 advanced,Passenger cars,diesel,2001,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2002 advanced,Passenger cars,diesel,2002,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2003 advanced,Passenger cars,diesel,2003,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2004 advanced,Passenger cars,diesel,2004,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2005 advanced,Passenger cars,diesel,2005,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2006 advanced,Passenger cars,diesel,2006,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2007 advanced,Passenger cars,diesel,2007,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2008 advanced,Passenger cars,diesel,2008,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2009 advanced,Passenger cars,diesel,2009,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars diesel 2010 advanced,Passenger cars,diesel,2010,advanced,1,EPA (2012) Table A-102,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1985 epa tier 0,Passenger cars,gasoline,1985,epa tier 0,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1986 epa tier 0,Passenger cars,gasoline,1986,epa tier 0,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1987 epa tier 0,Passenger cars,gasoline,1987,epa tier 0,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1988 epa tier 0,Passenger cars,gasoline,1988,epa tier 0,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
Passenger cars gasoline 1989 epa tier 0,Passenger cars,gasoline,1989,epa tier 0,1,EPA (2012) Table A-99,U.S. EPA (2012) Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2010,http://www.epa.gov/climatechange/emissions/usinventoryreport.html
