name,size_class_name,year,type_name,fuel_efficiency_city,fuel_efficiency_city_units,fuel_efficiency_highway,fuel_efficiency_highway_units,source,source_detail,source_url
Small car 1993,Small car,1993,Passenger cars,22.21942226,miles_per_gallon,29.28837137,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1994,Small car,1994,Passenger cars,21.90625122,miles_per_gallon,29.32891058,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1995,Small car,1995,Passenger cars,21.90188435,miles_per_gallon,29.68742537,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1996,Small car,1996,Passenger cars,21.7778657,miles_per_gallon,29.73201997,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1997,Small car,1997,Passenger cars,21.73909199,miles_per_gallon,29.5732493,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1998,Small car,1998,Passenger cars,21.54603562,miles_per_gallon,29.66984177,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 1999,Small car,1999,Passenger cars,20.96807065,miles_per_gallon,28.88948656,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2000,Small car,2000,Passenger cars,20.92707442,miles_per_gallon,28.66452666,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2001,Small car,2001,Passenger cars,21.07303762,miles_per_gallon,28.90050027,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2002,Small car,2002,Passenger cars,20.89772908,miles_per_gallon,28.73014061,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2003,Small car,2003,Passenger cars,20.77358486,miles_per_gallon,28.52338232,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2004,Small car,2004,Passenger cars,20.42439011,miles_per_gallon,28.44134249,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2005,Small car,2005,Passenger cars,20.72446744,miles_per_gallon,28.58393037,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2006,Small car,2006,Passenger cars,20.64452646,miles_per_gallon,28.8429752,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2007,Small car,2007,Passenger cars,21.0942087,miles_per_gallon,29.23126885,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2008,Small car,2008,Passenger cars,21.04919405,miles_per_gallon,29.38379767,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2009,Small car,2009,Passenger cars,22.26030752,miles_per_gallon,30.69990664,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Small car 2010,Small car,2010,Passenger cars,22.53823383,miles_per_gallon,31.05372353,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1975,Midsize car,1975,Passenger cars,10.51999645,miles_per_gallon,13.14355838,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1976,Midsize car,1976,Passenger cars,12.22089949,miles_per_gallon,15.13027855,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1977,Midsize car,1977,Passenger cars,12.86392338,miles_per_gallon,15.71898008,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1978,Midsize car,1978,Passenger cars,14.41903567,miles_per_gallon,17.94810967,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1979,Midsize car,1979,Passenger cars,15.02559247,miles_per_gallon,18.11136392,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1980,Midsize car,1980,Passenger cars,16.77633403,miles_per_gallon,20.95094755,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1981,Midsize car,1981,Passenger cars,17.79114683,miles_per_gallon,22.28223727,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1982,Midsize car,1982,Passenger cars,18.41598463,miles_per_gallon,23.78804117,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1983,Midsize car,1983,Passenger cars,18.37189774,miles_per_gallon,23.59856285,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1984,Midsize car,1984,Passenger cars,18.45892503,miles_per_gallon,23.90097609,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1985,Midsize car,1985,Passenger cars,19.04644987,miles_per_gallon,24.87156775,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1986,Midsize car,1986,Passenger cars,19.57337293,miles_per_gallon,25.91873523,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1987,Midsize car,1987,Passenger cars,19.53778407,miles_per_gallon,25.96260806,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1988,Midsize car,1988,Passenger cars,19.70940435,miles_per_gallon,27.05619296,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1989,Midsize car,1989,Passenger cars,19.50422808,miles_per_gallon,27.12359832,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1990,Midsize car,1990,Passenger cars,18.99757681,miles_per_gallon,26.84231452,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1991,Midsize car,1991,Passenger cars,18.78728368,miles_per_gallon,26.48902909,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1992,Midsize car,1992,Passenger cars,18.4329986,miles_per_gallon,26.28489028,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1993,Midsize car,1993,Passenger cars,18.57033022,miles_per_gallon,26.44645523,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1994,Midsize car,1994,Passenger cars,18.32393293,miles_per_gallon,26.04534603,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1995,Midsize car,1995,Passenger cars,18.23285264,miles_per_gallon,26.54164468,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1996,Midsize car,1996,Passenger cars,18.45683204,miles_per_gallon,26.51799802,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1997,Midsize car,1997,Passenger cars,18.3577638,miles_per_gallon,26.65089773,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1998,Midsize car,1998,Passenger cars,18.695937,miles_per_gallon,26.94764931,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 1999,Midsize car,1999,Passenger cars,18.54601047,miles_per_gallon,26.77205223,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2000,Midsize car,2000,Passenger cars,18.38123565,miles_per_gallon,26.46673837,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2001,Midsize car,2001,Passenger cars,18.45101975,miles_per_gallon,26.54580902,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2002,Midsize car,2002,Passenger cars,18.77827334,miles_per_gallon,26.46972654,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2003,Midsize car,2003,Passenger cars,18.87839454,miles_per_gallon,27.2651182,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2004,Midsize car,2004,Passenger cars,19.00963725,miles_per_gallon,27.49985106,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2005,Midsize car,2005,Passenger cars,19.66376533,miles_per_gallon,28.17187178,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2006,Midsize car,2006,Passenger cars,19.58979708,miles_per_gallon,27.96493461,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2007,Midsize car,2007,Passenger cars,20.66719521,miles_per_gallon,29.09890276,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2008,Midsize car,2008,Passenger cars,20.90050823,miles_per_gallon,28.96643994,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2009,Midsize car,2009,Passenger cars,21.48128243,miles_per_gallon,29.82272828,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Midsize car 2010,Midsize car,2010,Passenger cars,21.99784486,miles_per_gallon,30.46467957,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1975,Large car,1975,Passenger cars,10.20755218,miles_per_gallon,12.62544128,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1976,Large car,1976,Passenger cars,11.11004359,miles_per_gallon,13.4504229,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1977,Large car,1977,Passenger cars,12.38718894,miles_per_gallon,15.18394766,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1978,Large car,1978,Passenger cars,13.02931801,miles_per_gallon,16.30835236,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1979,Large car,1979,Passenger cars,13.65014778,miles_per_gallon,16.46083858,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1980,Large car,1980,Passenger cars,14.66508207,miles_per_gallon,18.76705788,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1981,Large car,1981,Passenger cars,15.40324045,miles_per_gallon,20.83108932,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1982,Large car,1982,Passenger cars,15.63521216,miles_per_gallon,20.99822017,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1983,Large car,1983,Passenger cars,15.21582037,miles_per_gallon,20.62874443,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1984,Large car,1984,Passenger cars,15.46961809,miles_per_gallon,20.97040433,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1985,Large car,1985,Passenger cars,16.62994407,miles_per_gallon,23.27373168,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1986,Large car,1986,Passenger cars,17.57557887,miles_per_gallon,25.39200096,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1987,Large car,1987,Passenger cars,17.36524179,miles_per_gallon,25.37895262,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1988,Large car,1988,Passenger cars,17.55769816,miles_per_gallon,25.55897935,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1989,Large car,1989,Passenger cars,17.29859752,miles_per_gallon,25.31323409,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1990,Large car,1990,Passenger cars,16.90679244,miles_per_gallon,25.05181662,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1991,Large car,1991,Passenger cars,16.82893539,miles_per_gallon,24.79726183,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
Large car 1992,Large car,1992,Passenger cars,16.77550582,miles_per_gallon,25.02159484,miles_per_gallon,EPA (2010) Appendix E,"EPA (2010) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2010: Appendix E",http://www.epa.gov/oms/fetrends.htm#report
